zone,circle,division,substation_title,hierarchy_path,level1_row_index,date,time,level2_sheet_id,level2_gid,level3_sheet_id,level3_gid,VOLTAGE | 220 kV Bus I & II,"66 kV Bus I , II & VII",11 kV T-III,11 kV T-IV,11 kV T-V,33 kV T-VI,220 kV FEEDERS LOAD | FGPP CKT - I,Sec 78 ckt (Import),Sec 78 ckt (Export),Sec 46 ckt - I (Import),Sec 46 ckt - II (Import),Sec 46 ckt - I (Export),Sec 46 ckt - II (Export),220/66 kV 100 MVA T/F T- I,220/66 kV 100 MVA T/F T - II,220/66 kV 100 MVA T/F T- VII,LOAD IN MVA | T/F T-I,T/F T-II,T/F T - VII,66 kV FEEDERS LOAD | 220 kV Bus Coupler,T/F Incomer -I,T/F Incomer - II,T/F Incomer - VII,66 kV Cap. Bank,66KV A4 ckt - I,66KV A4 ckt - II,66 kV Sector -31 ckt - I,66 kV Sector -31 ckt - II,66 kV Sector -46 ckt - I,66 kV Sector -46 ckt - II,66 kV Sector -37 ckt - I,66 kV Sector -37 ckt - II,25/31.5 MVA T/F T - III,25/31.5 MVA T/F T - IV,25/31.5 MVA T/F T - V,33 KV FEEDERS LOAD | Omaxe,CIM,IAC,11 kV FEEDERS LOAD | 25/31.5 MVA T/F T- III Incoming -I,Surdas,Gulmohar,Roshan Nagar,Colony,Ashoka,Kanishka,Palla,New DLF,York,I.G.C,Sector-37,Advance Fordging,Tikona Park,SAP,BSNL,Hundayi,KPC,Creative,25/31.5 MVA T/F T-III Incoming -II,25/31.5 MVA T/F T- IV Incoming -I,Sector-91,Ajay Nagar,Escort,Surya Vihar,Om-Enclave,Surya Nagar,Sapna Market,NHPC,Frick,Anupam,Pets,MCF,Tilpat,25/31.5 MVA T/F T-IV Incoming -II,25/31.5 MVA T/F T- V Incoming -I,L.F.M,Tal Bross,Basantpur,DLF,NAP,Forge Well,Kheri Kalan,Agwan Pur,Sub Station,Sudtrack,25/31.5 MVA T/F T-V Incoming -II,D. C. Battery Voltage,TAP POSITION | 100 MVA T/F T-I,100 MVA T/F T- II,100 MVA T/F T- VII,25/31.5 MVA T/ F T-III,25/31.5 MVA T/F T-IV,25/31.5 MVA T/F T-V,22.5/30 MVA T/F T-VI,TRANSFORMER TEMP | 100 MVA T/F T- I | O,W1,W2,100 MVA T/F T- II | O,W1_2,W2_2,100 MVA T/F T- VII | O,W1_3,W2_3,25/31.5 MVA T/ F T-III | O,W1_4,W2_4,25/31.5 MVA T/F T-IV | O,W1_5,W2_5,25/31.5 MVA T/F T-V | O,W1_6,W2_6,22.5/30 MVA T/F T-VI | O,W1_7,W2_7,Weather,Cooling Fan,Frequency,Power factor,Room Temp,Load in MVA T/F T- III,Load in MVA T/F T- IV,Load in MVA T/F T- V,Load in MVA T/F T- VI,11 KV Cap. Bank,Remarks
TS Zone Hisar,TS Faridabad,TS Faridabad,"Daily Log Sheet of 220 kV Sub-Station, Palla",TS Zone Hisar > TS Faridabad > TS Faridabad,2,2024-06-23,01:00,1f-D2Wds_XnUkrfvOn5z9tXHr4KiqtMeZWl6vIvX8GOs,,1DTTMbQBj2L-0CWn-Mg73BgDbGk_1PW9K90u8Bx_gzaA,,220.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TS Zone Hisar,TS Faridabad,TS Faridabad,"Daily Log Sheet of 220 kV Sub-Station, Palla",TS Zone Hisar > TS Faridabad > TS Faridabad,2,2024-06-23,02:00,1f-D2Wds_XnUkrfvOn5z9tXHr4KiqtMeZWl6vIvX8GOs,,1DTTMbQBj2L-0CWn-Mg73BgDbGk_1PW9K90u8Bx_gzaA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TS Zone Hisar,TS Faridabad,TS Faridabad,"Daily Log Sheet of 220 kV Sub-Station, Palla",TS Zone Hisar > TS Faridabad > TS Faridabad,2,2024-06-23,03:00,1f-D2Wds_XnUkrfvOn5z9tXHr4KiqtMeZWl6vIvX8GOs,,1DTTMbQBj2L-0CWn-Mg73BgDbGk_1PW9K90u8Bx_gzaA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TS Zone Hisar,TS Faridabad,TS Faridabad,"Daily Log Sheet of 220 kV Sub-Station, Palla",TS Zone Hisar > TS Faridabad > TS Faridabad,2,2024-06-23,04:00,1f-D2Wds_XnUkrfvOn5z9tXHr4KiqtMeZWl6vIvX8GOs,,1DTTMbQBj2L-0CWn-Mg73BgDbGk_1PW9K90u8Bx_gzaA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TS Zone Hisar,TS Faridabad,TS Faridabad,"Daily Log Sheet of 220 kV Sub-Station, Palla",TS Zone Hisar > TS Faridabad > TS Faridabad,2,2024-06-23,05:00,1f-D2Wds_XnUkrfvOn5z9tXHr4KiqtMeZWl6vIvX8GOs,,1DTTMbQBj2L-0CWn-Mg73BgDbGk_1PW9K90u8Bx_gzaA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TS Zone Hisar,TS Faridabad,TS Faridabad,"Daily Log Sheet of 220 kV Sub-Station, Palla",TS Zone Hisar > TS Faridabad > TS Faridabad,2,2024-06-23,06:00,1f-D2Wds_XnUkrfvOn5z9tXHr4KiqtMeZWl6vIvX8GOs,,1DTTMbQBj2L-0CWn-Mg73BgDbGk_1PW9K90u8Bx_gzaA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TS Zone Hisar,TS Faridabad,TS Faridabad,"Daily Log Sheet of 220 kV Sub-Station, Palla",TS Zone Hisar > TS Faridabad > TS Faridabad,2,2024-06-23,07:00,1f-D2Wds_XnUkrfvOn5z9tXHr4KiqtMeZWl6vIvX8GOs,,1DTTMbQBj2L-0CWn-Mg73BgDbGk_1PW9K90u8Bx_gzaA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TS Zone Hisar,TS Faridabad,TS Faridabad,"Daily Log Sheet of 220 kV Sub-Station, Palla",TS Zone Hisar > TS Faridabad > TS Faridabad,2,2024-06-23,08:00,1f-D2Wds_XnUkrfvOn5z9tXHr4KiqtMeZWl6vIvX8GOs,,1DTTMbQBj2L-0CWn-Mg73BgDbGk_1PW9K90u8Bx_gzaA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TS Zone Hisar,TS Faridabad,TS Faridabad,"Daily Log Sheet of 220 kV Sub-Station, Palla",TS Zone Hisar > TS Faridabad > TS Faridabad,2,2024-06-23,09:00,1f-D2Wds_XnUkrfvOn5z9tXHr4KiqtMeZWl6vIvX8GOs,,1DTTMbQBj2L-0CWn-Mg73BgDbGk_1PW9K90u8Bx_gzaA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TS Zone Hisar,TS Faridabad,TS Faridabad,"Daily Log Sheet of 220 kV Sub-Station, Palla",TS Zone Hisar > TS Faridabad > TS Faridabad,2,2024-06-23,10:00,1f-D2Wds_XnUkrfvOn5z9tXHr4KiqtMeZWl6vIvX8GOs,,1DTTMbQBj2L-0CWn-Mg73BgDbGk_1PW9K90u8Bx_gzaA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
